id;doi;place;hierarchylevel;category;tag
CBHCKS;https://doi.org/10.34725/DVN/CBHCKS;national;dataset;Soil;chemicophysical properties
CF2DGQ;https://doi.org/10.34725/DVN/CF2DGQ;national;dataset;Soil;
MR2COM;https://doi.org/10.34725/DVN/MR2COM;national;dataset;Soil;
IGJZLF;https://doi.org/10.34725/DVN/IGJZLF;national;dataset;Soil;
KKHVOF;https://doi.org/10.34725/DVN/KKHVOF;national;dataset;Soil;crop yield
ZUK436;https://doi.org/10.34725/DVN/ZUK436;national;dataset;Land;soil conservation
5RHDQC;https://doi.org/10.34725/DVN/5RHDQC;national;dataset;Soil;
2QV0DW;https://doi.org/10.34725/DVN/2QV0DW;continental;dataset;Soil;climate-smart agriculture
SPRSFN;https://doi.org/10.34725/DVN/SPRSFN;national; ; ;
WLAKR2;https://doi.org/10.34725/DVN/WLAKR2;national;;;
XUDGJY;https://doi.org/10.34725/DVN/XUDGJY;national;;;
NMYOFA;https://doi.org/10.34725/DVN/NMYOFA;national;;;
RTDZH8;https://doi.org/10.34725/DVN/RTDZH8;district;dataset;Soil;soil properties, fertilizer
MFHA9C;https://doi.org/10.34725/DVN/MFHA9C;global;dataset;Soil;chemicophysical properties, remote sensing
YTJTZQ;https://doi.org/10.34725/DVN/YTJTZQ;regional;dataset;Soil;spectroscopy,machine learning,analysis
66BFOB;https://doi.org/10.34725/DVN/66BFOB;regional;dataset;Soil;chemicophysical properties,soil nutrients
QXCWP1;https://doi.org/10.34725/DVN/QXCWP1;national;dataset;Soil;spectroscopy;
URYP1I;https://doi.org/10.34725/DVN/URYP1I;regional;dataset;Soil;;
OVIUCS;https://doi.org/10.34725/DVN/OVIUCS;district;dataset;Soil;crop yield;
