identifier;Title;LSC category;Data category
2f99e11d-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Water retention volumetric - 10 kPa;Soil;soil water content, soil fertility, soil water conservation
e598556a-4dfc-40dc-89ef-1cfd01276744;SoilGrids250m 2.0 - Volumetric Water Content at 1500kPa aggregated 5000m ;Soil;soil water content, soil fertility, soil water conservation
2f99e115-183c-11e9-aba8-a0481ca9e724;"WoSIS latest - Phosphorus (P) - Mehlich 3";Soil;soil chemicophysical properties, soil fertility, soil water conservation
2b643ef9-4bee-44d4-b50d-5020c9133b8b;WoSIS latest - Organic carbon;Soil;soil chemicophysical properties, soil fertility, soil water conservation
44e9cac5-2cb7-41c3-9fbc-0bc8b716e993;WoSIS latest - pH H2O;Soil;soil chemicophysical properties, soil fertility, soil water conservation
f41367e5-f4d2-4b73-81aa-a472730e1519;WoSIS latest - Profiles;Soil;soil chemicophysical properties, soil fertility, soil water conservation
5e1605a7-5cae-4f7c-b800-9aa7f315d00d;SoilGrids250m 2.0 - Clay content aggregated 1000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
2f99e10a-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Water retention gravimetric - 100 kPa;Soil;soil water content, soil fertility, soil water conservation
713396f4-1687-11ea-a7c0-a0481ca9e724;SoilGrids250m 2.0 - Soil organic carbon stock;Soil;soil chemicophysical properties, soil fertility, soil water conservation
867431df-9c35-4aaa-8cd7-93ee0226eb3d;SoilGrids250m 2.0 - Cation exchange capacity at ph7 aggregated 5000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
6d86f10a-d898-4ba9-b41d-b11c767dde8b;SoilGrids250m 2.0 - Total nitrogen aggregated 5000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
625d233b-9060-4145-8372-70e560b1d707;WoSIS latest - Coarse fragments volumetric total;Soil;soil chemicophysical properties, soil fertility, soil water conservation
2f99e10f-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Bulk density fine earth - oven dry;Soil;soil porosity, soil fertility, soil water conservation
2f99e118-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Water retention gravimetric - 200 kPa;Soil;soil water content, soil fertility, soil water conservation
713396fc-1687-11ea-a7c0-a0481ca9e724;SoilGrids250m 2.0 - Cation exchange capacity at ph7;Soil;soil chemicophysical properties, soil fertility, soil water conservation
713396f6-1687-11ea-a7c0-a0481ca9e724;SoilGrids250m 2.0 - Soil organic carbon content;Soil;soil chemicophysical properties, soil fertility, soil water conservation
0df59382-8b09-419c-80c2-96ee41971fe0;SoilGrids250m 2.0 - Sand content aggregated 5000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
191be9ad-1817-43cd-9c8e-f22b8ff64294;SoilGrids250m 2.0 - Soil organic carbon content aggregated 1000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
1a8f1290-f75a-4c86-bf7a-7b44d03089c3;WoSIS latest - Silt total;Soil;soil chemicophysical properties, soil fertility, soil water conservation
178b79f1-7471-4dd4-b41e-aba8b18b1bfe;SoilGrids250m 2.0 - Clay content aggregated 5000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
2f99e110-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Bulk density fine earth - field moist;Soil;soil porosity, soil fertility, soil water conservation
2f99e108-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Phosphorus (P) - Bray I;Soil;soil chemicophysical properties, soil fertility, soil water conservation
2f99e11a-183c-11e9-aba8-a0481ca9e724;WoSIS latest - Water retention volumetric - 1500 kPa;Soil;soil water content, soil fertility, soil water conservation
713396f9-1687-11ea-a7c0-a0481ca9e724;SoilGrids250m 2.0 - Bulk density;Soil;soil porosity, soil fertility, soil water conservation
d29bdac4-4e0f-44e6-94da-d5e7f6ba91be;WoSIS latest - Coarse fragments gravimetric total;Soil;soil chemicophysical properties, soil fertility, soil water conservation
e70d9b3b-a395-4cf7-a6f9-06ca316e506c;SoilGrids250m 2.0 - Sand content aggregated 1000m;Soil;soil chemicophysical properties, soil fertility, soil water conservation
