url;label;country;api-protocol;api-url;Filter;description
http://www.igad.int/about/;IGAD;Global;CSW;https://geonode.igad.int/catalogue/csw?request=GetCapabilities&service=CSW&version=2.0.2;;The IGAD 2021-2025 Strategy sets the strategic framework for priority interventions over the first five year for the implementation of IGAD Vision 2050. It builds on a number of on-going Programmes established to develop resilient ecosystems and economic growth. The programmes include IGAD Drought Disaster Resilience and Sustainability Initiative (IDDRSI), regional CAADP Compact, Institutional Strengthening Action Programme (ISAP), Agriculture, Livestock, Fisheries and Food Security, Natural Resources and Environmental Protection, Regional Economic Cooperation and Integration, Social Development, Peace and Security, Gender Affairs, and other strategies and policy papers which underpin the IGAD regional programmes.
https://www.researchgate.net/publication/347927460_Identifying_Cataloguing_and_Mapping_Soil_and_Agronomic_Data_in_Ethiopia;alliancebioversityciat;Global;;https://alliancebioversityciat.org/;;Report on Identifying, Cataloguing, and Mapping Soil and Agronomic Data in Ethiopia
https://www.gfdrr.org/en/onlinetools;GFDRR;Global;;;;"Global Facility for Disaster Reduction and Recovery;tools for data interpretation"
https://www.gaez.iiasa.ac.at/;GAEZ;Global;WMS;https://gaez-services.fao.org/server/services/LR/ImageServer/WMSServer;;Global AEZ incl. Climate, suitability, potential and actual yields
https://www.yieldgap.org/atlas-advanced-users;GYGA;Global;WMS;https://www.yieldgap.org/geoserver/gyga/wms;;Global Yield Gap Atlas
https://bigdata.cgiar.org/;CG big data;Global;;;;
https://dataverse.harvard.edu/dataverse/harvard;Harvard Dataverse;Global;OAI;https://dataverse.harvard.edu/oai?verb=ListSets;;
https://www.tiger.esa.int/page_eoservices.php;ESA;Global;WMS;https://46.19.32.32:8080/geoserver/wms;;Water
https://wapor.apps.fao.org;FAO WAPOR;Global;WMS;https://io.apps.fao.org/geoserver/wms;;Water productivity
https://agrofims.org/experiments;Agrofims;Global;;;;Standardised interoperable data on mainly trials and incl. soil
https://labs.scio.systems;CGlabs;Global;;;;Much data layers
https://www.yara.com/crop-nutrition/digital-farming/;Yara;Global;;;;
