nr,Identification,Title,LCS category,Data category,Abstract,Keywords,Authors,Year,Contact - Name,Contact - Organization,Contact - Role,Contact - Email,Source,Language,Reference system,Citation,Paper or Report,Spatial resolution,Spatial format,Format,Extent (geographic),Extent (category)
1,KE-SOTER,Soil and Terrain database - Kenya,Soil,soil types,soil and terrain database,soils; soil types; soil class; soil profiles,"KSS Staff and Dijkshoorn, J. A.",2007,Dr. Kennedy Were,KALRO ,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,Exploratory Soil map of Kenya,english,EPSG4326,,Exploratory Soil Survey Report. No. E1,"1:1,000,000",Vector - Polygon,shapefile,Kenya ,national
2,KE-SOTER-UT,Soil and Terrain database - Upper Tana River Catchment ,Soil,soil types,soil and terrain database,soils; soil types; soil class; soil profiles,"KSS Staff and Dijkshoorn, J. A.",2007,Dr. Kennedy Were,KALRO ,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,Exploratory Soil map of Kenya,english,EPSG4326,,Exploratory Soil Survey Report. No. E1,"1:250,000",Vector - Polygon,shapefile,Kenya ,catchment
3,Agroclimatic zones of Kenya,Agroclimatic zones of Kenya,Land,land suitability,temperature zones; moisture availability zones,rainfall;temperature;potential;classification,KSS Staff and UNEP/GRID,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,Agroclimatic zones map of Kenya,english,EPSG4326,,,"1:1,000,000",Vector - Polygon,shapefile,Kenya ,national
4,Agroecological zones of Kenya,Agroecological zones of Kenya,Land,land suitability,"land units defined on the basis of combinations of soil, land form and climatic characteristics.",AEZCODE; AEZ; AEZv1_DES; aezones_AE,KSS Staff and UNEP/GRID,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,Agroecological zones map of Kenya,english,EPSG4326,,,"1:1,000,000",Vector - Polygon,shapefile,Kenya ,national
5,"Reconnaissance soil survey map of the Lake Basin Development Authority area, Western Kenya ",Soils of the Lake Basin Development Authority area,Soil,soil types,soil mapping units,soils; soil mapping units; soil types; soil class,"Andriesse, W., Pouw, B.J.A. van der",,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,"1:250,000",Vector - Polygon,shapefile,Kenya ,province
6,Bean suitability,Bean suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,beans; suitabulity; land evaluation; land use,KSS Staff,2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
7,Maize suitability,Maize suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed maize production based on the land qualities and the requirements for growing maize,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
8,Oats suitability,Oats suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
9,Millet suitability,Millet suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
10,Sorghum Suitability,Sorghum Suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
11,Wheat suitability,Wheat suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
12,Cotton suitability,Cotton suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
13,Cabbage suitability,Cabbage suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed bean production based on the land qualities and the requirements for growing beans,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
14,Kales suitability,Kales suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed oats production based on the land qualities and the requirements for growing oats,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
15,Cassava suitability,Cassava suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed cassava production based on the land qualities and the requirements for growing cassava,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
16,Irish potato suitability,Irish potato suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed irish potato production based on the land qualities and the requirements for growing irish potato,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
17,Sweet potato suitability,Sweet potato suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed sweet potato production based on the land qualities and the requirements for growing sweet potato,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
18,Spinach suitability,Spinach suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed spinach production based on the land qualities and the requirements for growing spinach,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
19,Tomato suitability,Tomato suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed tomato production based on the land qualities and the requirements for growing tomato,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
20,Napier grass suitability,Napier grass suitability,Crop,land suitability,Dataset showing the suitable areas for rainfed napier grass production based on the land qualities and the requirements for growing napier grass,,KSS Staff,,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,english,EPSG4326,,,100m,Grid,GeoTiff,Kenya,national
