nr,Identification,Title,LCS category,Data category,Abstract,Keywords,Authors,Year,Contact - Name,Contact - Organization,Contact - Role,Contact - Email,Who fills the form,Source,Language,Reference system,Citation,Paper or Report,Spatial resolution,Spatial format,Format,Extent (geographic),Extent (category),Usage constraints (*)
6,ISRIC_Workspace/projects/5318018078_LSC-IS/T3_1/Kenya/APNI/APNIdata_UPDATE.xlsx,"Feed the crop, not the soil! Explaining variability in maize yield responses to nutrient applications in smallholder farms of western Kenya",Soil,soil chemicophysical properties,"This file contains soil data from the African Plant Nutrition Institute (APNI), collected by Samuel Njoroge and provided to ISRIC (see data sharing agreement). Sampling locations are in Western Kenya (Siaya country), sampling depth was 0-20 cm. Data are described in:  S Njoroge Kinyanjui (2019) Feed the crop, not the soil! Explaining variability in maize yield responses to nutrient applications in smallholder farms of western Kenya. PhD thesis, Wageningen University. Day 0: Data collected before field trials were implemented, Day 7: Soil data belong to control treatments (no application of nutrients)","pH water; Organic matter; Texture; Nutrients in Mehlich 3; Cation Exchange Capacity; Organic carbon; P-Olsen; Exchangeable bases; Total N",S Njoroge Kinyanjui,2013;2016,Samuel Njoroge,APNI,Researcher,s.njoroge@apni.net,Giulio Genova; ISRIC; giulio.genova@isric.org,,english,EPSG:4326,,https://doi.org/10.18174/503185,point data,Vector - Point,xlsx,Kenya,catchment,Other
7,R32,"Soil suitability for Alternative land uses in Kinangop District, Nyandarua County",Soil,soil suitability,"This report describes the soil suitability for alternative land uses in Kinagop, Nyandarua County",,"Wanjogu, S.N., Waruru, B.K., Chek, A.L., Kibe, J.M., Mwangi, J.A. and Macharia, P.N",2012,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nyandarua, Kenya",district,
8,R33,"Suitability, Evaluation of soils for Alternative Land Uses in Nyandarua South District, Nyandarua County",Soil,soil suitability,"This report describes the suitability, evaluation of soils for alternative land uses in Nyandarua South Distirct, Nyandarua County",,"Wanjogu, S.N., Njoroge, C.R.K., Chek, A.L., Kibe, J.M., Mwangi, J.A. and Macharia, P.N.",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nyandarua, Kenya",district,
9,R34,"Land Cover/ Land Use of Kinangop District, Nyandarua County",Land,land cover,"This report describes the various land cover and land uses of Kinangop District, Nyandarua County",,"Wagate, P.N., Tanui, L.K. and Macharia P.N.",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nyandarua, Kenya",district,
10,R35,The soils of Galana ADC Ranch and their suitability for irrigated agriculture. Kilifi and Tana River Counties.,Soil,soil suitability,"A reconnaisance soil survey was carried out at a scale of 1:250,000. The report describes the soils of Galana ADC Ranch and their suitability for irrigated agriculture.",,"Wanjogu, S.N., Kamoni, P.T., Waruru, B.K., Njoroge, C.R.K., Kibe, J.M. and Mwangi J.A.",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kilifi and Tana River Counties, Kenya",district,
11,R36,The soils of Galana ADC Ranch and their suitability for irrigated agriculture,Soil,soil suitability,"A reconnaisance soil survey was carried out at a scale of 1:250,000. The report describes the soils of Galana ADC Ranch and their suitability for irrigated agriculture.",,"Wanjogu, S.N., Waruru, B.K., Kamoni, P.T., Njoroge, C.R.K., Kibe, J.M. and Mwangi, J.A",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Tana River County, Kenya",district,
12,R37,The soils of Galana ADC Ranch and their suitability for irrigated agriculture. Kilifi and Tana River Counties,Soil,soil suitability,"A reconnaisance soil survey was carried out at a scale of 1:250,000. The report describes the soils of Galana ADC Ranch and their suitability for irrigated agriculture.",,"Wanjogu, S.N., Waruru, B.K., Kamoni, P.T., Njoroge, C.R.K., Kibe, J.M. and Mwangi, J.A",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Tana River and Kilifi Counties, Kenya",district,
13,R38,The soils of Kulalu ADC Ranch and their suitability for irrigated agriculture. Kilifi County,Soil,soil suitability,"A reconnaisance soil survey was carried out at a scale of 1:250,000. The report describes the soils of Kulalu ADC Ranch and their suitability for irrigated agriculture.",,"Wanjogu, S.N., Waruru, B.K., Kamoni, P.T., Njoroge, C.R.K., Kibe, J.M. and Mwangi, J.A",2013,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kilifi County, Kenya",district,
14,R39,"Reconnaissance land cover/land use of Galana ADC Ranch, Tana River and Kilifi Counties",Land,land cover,This report describes the various land cover and land uses of Galana ADC Ranch,,"Wagate, P.N., Tanui,L.K. and Macharia, P.N.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Tana River and Kilifi Counties, Kenya",district,
15,R40,"Reconnaissance land cover/land use of Kulalu ADC Ranch, Kilifi County.",Land,land cover,This report describes the various land cover and land uses of Kulalu ADC Ranch,,"Wagate, P.N., Tanui,L.K. and Macharia, P.N.",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kilifi County, Kenya",district,
16,R41,"Reconnaissance Land Cover/Land Use of Enkuishini sub loation, Kajiado County",Land,land cover,"This report describes the various land cover and land uses of Enkushini Sub-location, Kajiado County",,"Tanui, L.K., Wagate, P.N., Macharia, P.N., Esilaba, A.O. and Kimigo, J",2014,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Kajiado County, Kenya",district,
17,R42,"Soils and suitability evaluation for alternative land uses in Kipipiri Sub-county, Nyandarua County",Soil,soil suitability,"A reconnaisance soil survey was carried out at a scale of 1:250,000. The report describes the evaluation of soils and its suitability for alternative land use in Kipipiri Sub-county, Nyandarua County",,"Wanjogu, S.N., Waruru, B.K., Chek, A.L., Mwangi, J.A. and Macharia, P.N",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nyandarua County, Kenya",district,
18,R43,"Evaluation for alternative land uses in Nyandarua Central Sub-County, Nyandarua County",Land,land cover,"This report describes the evaluation of various land uses of in Nyandarua Central Sub-County, Nyandarua County",,"Wanjogu, S.N., Waruru, B.K., Chek, A.L., Mwangi, J.A. and Macharia, P.N.",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nyandarua County, Kenya",district,
19,R44,"Reconnaisance land cover/land use of Nyandarua South Sub-County, Nyandarua County",Land,land cover,"This report describes the various land cover and land uses of Nyandarua South Sub-County, Nyandarua County",,"Tanui, L.K., Wagate, P.N. and Macharia, P.N.",2015,Dr. Kennedy Were,KALRO,"Head, Kenya Soil Survey",Soils.Survey@kalro.org,,,english,,,Report,,,,"Nyandarua County, Kenya",district,
